"ASI1";"ASI2";"ASI3";"ASI4";"ASI5";"ASI6";"ASI7";"ASI8";"ASI9";"ASI10";"ASI11";"ASI12";"ASI13";"ASI14";"ASI15";"ASI16";"ASI17";"ASI18";"ASI19";"ASI20";"ASI21";"ASI22";"ASI";"HS";"BS"
5;5;5;5;5;5;4;3;3;2;2;2;1;2;3;3;4;3;2;2;2;2;70;36;34
1;1;2;2;3;5;1;3;1;1;1;1;1;4;1;1;1;3;1;1;1;3;39;19;20
5;5;5;5;3;2;4;3;5;3;4;5;4;3;3;3;5;3;4;5;4;5;88;40;48
3;5;3;1;3;4;5;1;5;3;5;3;3;4;2;4;1;5;2;2;3;2;69;40;29
3;4;3;4;4;3;4;3;4;4;4;3;3;3;5;2;3;2;2;3;1;3;70;37;33
4;4;4;3;2;4;2;3;5;2;3;1;1;2;1;1;1;1;1;1;1;4;51;22;29
3;4;4;4;3;3;3;2;3;3;4;3;3;3;3;2;2;4;2;1;4;1;64;37;27
1;1;1;2;1;5;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;5;33;14;19
4;5;4;4;3;4;5;3;4;3;4;4;3;1;1;3;4;3;3;3;3;3;74;35;39
2;3;3;4;3;5;4;3;4;3;4;1;1;1;2;3;3;4;4;2;3;3;65;34;31
3;5;1;5;5;5;5;5;3;3;5;5;1;4;1;5;3;4;1;1;3;4;77;45;32
1;3;1;3;1;5;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;17;15
1;1;5;2;1;1;1;1;1;1;2;5;1;2;1;1;4;3;2;3;1;1;41;16;25
2;4;3;2;2;4;3;3;5;2;3;2;2;2;3;3;2;3;2;2;2;2;58;29;29
3;2;3;4;3;2;3;1;3;2;2;4;3;2;2;1;1;3;1;1;3;2;51;27;24
1;1;1;1;4;4;1;4;3;3;5;4;1;4;4;4;1;4;4;1;4;4;63;35;28
2;4;3;1;1;4;1;4;3;3;3;4;2;3;2;4;1;3;2;3;3;2;58;28;30
1;1;4;2;1;4;4;1;3;1;1;1;1;1;2;2;1;1;1;1;1;1;36;17;19
5;5;5;4;3;5;4;1;5;3;3;5;1;3;3;4;1;3;3;3;2;5;76;37;39
4;4;4;4;3;5;5;3;4;3;3;1;1;3;3;3;3;4;3;2;4;3;72;39;33
3;3;5;4;2;5;4;4;4;4;1;4;1;2;1;3;4;4;3;1;3;3;68;31;37
1;1;5;1;1;5;1;5;1;1;1;1;1;1;1;1;5;1;5;1;1;5;46;11;35
4;4;5;4;4;4;5;4;4;4;3;2;1;3;1;5;4;4;2;2;3;3;75;40;35
5;3;1;1;1;3;1;1;5;1;1;3;1;1;1;1;5;1;1;1;1;1;40;13;27
3;1;4;2;1;4;1;3;4;1;4;2;2;2;2;4;1;5;1;1;1;1;50;24;26
4;5;3;4;5;3;5;4;5;4;5;5;2;4;5;5;3;5;1;4;5;5;91;52;39
4;3;4;3;3;2;4;4;4;4;4;5;2;3;3;4;4;3;3;3;3;4;76;37;39
1;4;2;4;4;5;4;1;1;1;2;1;1;1;1;1;1;4;2;1;4;1;47;30;17
2;2;2;5;4;5;3;1;2;2;2;1;1;1;1;2;2;1;1;1;1;2;44;24;20
2;4;3;4;5;5;5;3;5;4;4;5;3;4;3;4;2;4;3;2;3;1;78;44;34
5;2;5;3;5;5;3;5;5;3;3;5;3;3;3;3;3;3;3;5;3;5;83;34;49
1;4;1;5;1;5;5;3;5;3;3;1;1;3;1;3;1;3;4;3;3;2;61;34;27
1;1;1;1;1;5;1;5;3;1;1;1;1;1;1;1;3;3;1;1;1;1;36;13;23
4;4;1;3;2;4;4;1;3;2;1;3;2;2;1;1;1;1;1;1;2;2;46;23;23
3;4;3;4;2;5;5;1;3;3;4;3;1;4;3;2;3;5;1;1;3;4;67;39;28
4;4;1;2;1;2;1;5;5;1;1;3;1;1;1;1;3;1;1;1;1;2;43;15;28
1;4;5;4;4;3;5;3;5;3;4;1;1;5;1;4;1;4;1;1;3;5;68;41;27
3;2;4;4;3;4;4;3;4;3;3;2;2;3;3;2;2;4;2;1;4;4;66;35;31
4;4;4;3;3;4;4;3;4;2;2;3;2;2;2;2;2;2;2;3;2;2;61;28;33
2;2;2;4;3;4;3;3;3;2;1;2;1;1;2;2;2;3;3;2;2;2;51;25;26
4;4;3;2;2;2;1;2;4;2;4;2;1;2;1;4;4;4;3;2;4;3;60;30;30
1;3;3;4;2;4;3;1;3;2;2;1;1;1;1;1;1;1;1;1;1;1;39;21;18
4;4;3;3;2;4;3;2;3;2;2;2;2;2;1;1;3;4;3;2;2;2;56;26;30
2;2;3;4;3;4;4;2;3;2;1;1;1;4;2;1;3;4;3;2;2;2;55;29;26
2;4;1;2;1;4;2;1;1;1;1;1;2;1;1;1;1;3;2;1;1;1;35;18;17
5;2;1;3;2;5;3;1;5;4;3;1;1;3;1;3;1;3;1;1;1;1;51;28;23
3;4;2;4;1;5;1;1;4;4;3;3;1;1;1;2;2;5;4;1;4;1;57;30;27
1;5;1;5;4;5;5;1;5;1;4;2;1;2;2;4;1;4;1;1;4;1;60;40;20
